word	value
year	0.4199083141277695
season	0.28365630919716533
health	0.19686232740863097
immune	0.18861932355161934
sick	0.1711635506779476
free	0.16582984229988126
vaccines	0.16534495972005706
glaxosmithkline	0.15413450840454013
system	0.15176824748497905
fda	0.13134715987944623
approval	0.12813124174066814
particles	0.12578287517610223
160	0.11759820335207295
don	0.11346252367886613
wins	0.11340683868301589
cdc	0.11006834562009664
recalled	0.10475559750883595
patch	0.1023022007137351
news	0.09746139854466707
floating	0.09685789236220257
